TrId,FromAccNo,ToAccNo,TrType,Amount
160,XYX-958,ABC-328,Cheque,4332
161,PQR-88862,XYX-929,Online-Transfer,2839
162,ABC-358,PQR-88833,Visa,4857
163,XYX-959,ABC-329,Master-Card,1376
164,PQR-88863,XYX-930,Cheque,996
165,ABC-359,PQR-88834,Online-Transfer,3548
166,XYX-960,ABC-330,Visa,1782
167,PQR-88864,XYX-931,Master-Card,1903
168,ABC-360,ABC-329,Cheque,910
169,XYX-961,XYX-930,Online-Transfer,456
170,PQR-88865,PQR-88834,Visa,586
171,ABC-361,ABC-330,Master-Card,2953
172,XYX-962,XYX-931,Cheque,1651
173,PQR-88866,PQR-88835,Online-Transfer,4287
174,ABC-362,ABC-331,Visa,3664
175,XYX-963,XYX-932,Master-Card,4981
176,PQR-88867,ABC-330,Cheque,2883
177,ABC-363,XYX-931,Online-Transfer,3290
178,XYX-964,PQR-88835,Visa,843
179,PQR-88868,ABC-331,Master-Card,3585
180,ABC-364,XYX-932,Cheque,4271
181,XYX-965,PQR-88836,Online-Transfer,1835
182,PQR-88869,ABC-332,Visa,2932
183,ABC-365,XYX-933,Master-Card,2804
184,XYX-966,ABC-331,Cheque,606
185,PQR-88870,XYX-932,Online-Transfer,1813
186,ABC-366,PQR-88836,Visa,1457
187,XYX-967,ABC-332,Master-Card,3516
188,PQR-88871,XYX-933,Cheque,4543
189,ABC-367,PQR-88837,Online-Transfer,3364
190,XYX-968,ABC-333,Visa,2719
191,PQR-88872,XYX-934,Master-Card,4467
192,ABC-368,ABC-332,Cheque,2249
193,XYX-969,XYX-933,Online-Transfer,240
194,PQR-88873,PQR-88837,Visa,4608
195,ABC-369,ABC-333,Master-Card,1401
196,XYX-970,XYX-934,Cheque,2707
197,PQR-88874,PQR-88838,Online-Transfer,1110
198,ABC-370,ABC-334,Visa,424
199,XYX-971,XYX-935,Master-Card,2930
200,PQR-88875,ABC-333,Cheque,3067
201,ABC-371,XYX-934,Online-Transfer,2235
202,XYX-972,PQR-88838,Visa,259
203,PQR-88876,ABC-334,Master-Card,1872
204,ABC-372,XYX-935,Cheque,4051
205,XYX-973,PQR-88839,Online-Transfer,2894
206,PQR-88877,ABC-335,Visa,1580
207,ABC-373,XYX-936,Master-Card,3497
208,XYX-974,ABC-334,Cheque,2388
209,PQR-88878,XYX-935,Online-Transfer,4731
210,ABC-374,PQR-88839,Visa,1122
211,XYX-975,ABC-335,Master-Card,1621
212,PQR-88879,XYX-936,Cheque,2937
213,ABC-375,PQR-88840,Online-Transfer,3273
214,XYX-976,ABC-336,Visa,1953
215,PQR-88880,XYX-937,Master-Card,4313
216,ABC-376,ABC-335,Cheque,4351
217,XYX-977,XYX-936,Online-Transfer,1187
218,PQR-88881,PQR-88840,Visa,3511
219,ABC-377,ABC-336,Master-Card,2582
220,XYX-978,XYX-937,Cheque,2038
221,PQR-88882,PQR-88841,Online-Transfer,1142
222,ABC-378,ABC-337,Visa,3886
223,XYX-979,XYX-938,Master-Card,4137
224,PQR-88883,ABC-336,Cheque,188
225,ABC-379,XYX-937,Online-Transfer,160
226,XYX-980,PQR-88841,Visa,629
227,PQR-88884,ABC-337,Master-Card,654
228,ABC-380,XYX-938,Cheque,724
229,XYX-981,PQR-88842,Online-Transfer,3566
230,PQR-88885,ABC-338,Visa,1452
231,ABC-381,XYX-939,Master-Card,3181
232,XYX-982,ABC-337,Cheque,3115
233,PQR-88886,XYX-938,Online-Transfer,832
234,ABC-382,PQR-88842,Visa,1161
235,XYX-983,ABC-338,Master-Card,2821
236,PQR-88887,XYX-939,Cheque,1397
237,ABC-383,PQR-88843,Online-Transfer,517
238,XYX-984,ABC-339,Visa,4222
239,PQR-88888,XYX-940,Master-Card,3056
240,ABC-384,ABC-338,Cheque,3227
241,XYX-985,XYX-939,Online-Transfer,4756
242,PQR-88889,PQR-88843,Visa,1559
243,ABC-385,ABC-339,Master-Card,2044
244,XYX-986,XYX-940,Cheque,2614
245,PQR-88890,PQR-88844,Online-Transfer,1066
246,ABC-386,ABC-340,Visa,3917
247,XYX-987,XYX-941,Master-Card,4949
248,PQR-88891,ABC-339,Cheque,3911
249,ABC-387,XYX-940,Online-Transfer,4235
250,XYX-988,PQR-88844,Visa,1085
251,PQR-88892,ABC-340,Master-Card,3938
252,ABC-388,XYX-941,Cheque,1373
253,XYX-989,PQR-88845,Online-Transfer,2023
254,PQR-88893,ABC-341,Visa,732
255,ABC-389,XYX-942,Master-Card,2614
256,XYX-990,ABC-340,Cheque,4647
257,PQR-88894,XYX-941,Online-Transfer,1184
258,ABC-390,PQR-88845,Visa,908
259,XYX-991,ABC-341,Master-Card,4421
260,PQR-88895,XYX-942,Cheque,3880
261,ABC-391,PQR-88846,Online-Transfer,1059
262,XYX-992,ABC-342,Visa,2558
263,PQR-88896,XYX-943,Master-Card,2966
264,ABC-392,ABC-341,Cheque,2043
265,XYX-993,XYX-942,Online-Transfer,2988
266,PQR-88897,PQR-88846,Visa,837
267,ABC-393,ABC-342,Master-Card,1674
268,XYX-994,XYX-943,Cheque,2592
269,PQR-88898,PQR-88847,Online-Transfer,2517
270,ABC-394,ABC-343,Visa,2241
271,XYX-995,XYX-944,Master-Card,4236
272,PQR-88899,ABC-342,Cheque,3366
273,ABC-395,XYX-943,Online-Transfer,832
274,XYX-996,PQR-88847,Visa,3758
275,PQR-88900,ABC-343,Master-Card,2185
276,ABC-396,XYX-944,Cheque,4261
277,XYX-997,PQR-88848,Online-Transfer,876
278,PQR-88901,ABC-344,Visa,1386
279,ABC-397,XYX-945,Master-Card,257
280,XYX-998,ABC-343,Cheque,3371
281,PQR-88902,XYX-944,Online-Transfer,4139
282,ABC-398,PQR-88848,Visa,1374
283,XYX-999,ABC-344,Master-Card,1880
284,PQR-88903,XYX-945,Cheque,2060
285,ABC-399,PQR-88849,Online-Transfer,3817
286,XYX-1000,ABC-345,Visa,811
287,PQR-88904,XYX-946,Master-Card,1806
288,ABC-400,ABC-344,Cheque,1236
289,XYX-1001,XYX-945,Online-Transfer,4837
290,PQR-88905,PQR-88849,Visa,1453
291,ABC-401,ABC-345,Master-Card,2797
292,XYX-1002,XYX-946,Cheque,3768
293,PQR-88906,PQR-88850,Online-Transfer,4735
294,ABC-402,ABC-346,Visa,4572
295,XYX-1003,XYX-947,Master-Card,673
296,PQR-88907,ABC-345,Cheque,2091
297,ABC-403,XYX-946,Online-Transfer,853
298,XYX-1004,PQR-88850,Visa,2155
299,PQR-88908,ABC-346,Master-Card,4983
300,ABC-404,XYX-947,Cheque,2786
301,XYX-1005,PQR-88851,Online-Transfer,1383
302,PQR-88909,ABC-347,Visa,1237
303,ABC-405,XYX-948,Master-Card,2809
304,XYX-1006,ABC-346,Cheque,3025
305,PQR-88910,XYX-947,Online-Transfer,1241
306,ABC-406,PQR-88851,Visa,2972
307,XYX-1007,ABC-347,Master-Card,2282
308,PQR-88911,XYX-948,Cheque,3166
309,ABC-407,PQR-88852,Online-Transfer,521
310,XYX-1008,ABC-348,Visa,386
311,PQR-88912,XYX-949,Master-Card,1577
312,ABC-408,ABC-347,Cheque,2719
313,XYX-1009,XYX-948,Online-Transfer,2190
314,PQR-88913,PQR-88852,Visa,712
315,ABC-409,ABC-348,Master-Card,4922
316,XYX-1010,XYX-949,Cheque,4677
317,PQR-88914,PQR-88853,Online-Transfer,2823
318,ABC-410,ABC-349,Visa,4859
319,XYX-1011,XYX-950,Master-Card,795
320,PQR-88915,ABC-348,Cheque,370
321,ABC-411,XYX-949,Online-Transfer,957
322,XYX-1012,PQR-88853,Visa,3693
323,PQR-88916,ABC-349,Master-Card,3934
324,ABC-412,XYX-950,Cheque,4728
325,XYX-1013,PQR-88854,Online-Transfer,2374
326,PQR-88917,ABC-350,Visa,4152
327,ABC-413,XYX-951,Master-Card,3865
328,XYX-1014,ABC-349,Cheque,4393
329,PQR-88918,XYX-950,Online-Transfer,230
330,ABC-414,PQR-88854,Visa,1622
331,XYX-1015,ABC-350,Master-Card,421
332,PQR-88919,XYX-951,Cheque,2988
333,ABC-415,PQR-88855,Online-Transfer,1587
334,XYX-1016,ABC-351,Visa,4201
335,PQR-88920,XYX-952,Master-Card,1068
336,ABC-416,ABC-350,Cheque,3200
337,XYX-1017,XYX-951,Online-Transfer,2364
338,PQR-88921,PQR-88855,Visa,3997
339,ABC-417,ABC-351,Master-Card,796
340,XYX-1018,XYX-952,Cheque,3539
341,PQR-88922,PQR-88856,Online-Transfer,806
342,ABC-418,ABC-352,Visa,4610
343,XYX-1019,XYX-953,Master-Card,3336
344,PQR-88923,ABC-351,Cheque,1454
345,ABC-419,XYX-952,Online-Transfer,3048
346,XYX-1020,PQR-88856,Visa,955
347,PQR-88924,ABC-352,Master-Card,1755
348,ABC-420,XYX-953,Cheque,327
349,XYX-1021,PQR-88857,Online-Transfer,1960
350,PQR-88925,ABC-353,Visa,3384
351,ABC-421,XYX-954,Master-Card,2958
352,XYX-1022,ABC-352,Cheque,4267
353,PQR-88926,XYX-953,Online-Transfer,3385
354,ABC-422,PQR-88857,Visa,3754
355,XYX-1023,ABC-353,Master-Card,4317
356,PQR-88927,XYX-954,Cheque,3277
357,ABC-423,PQR-88858,Online-Transfer,1876
358,XYX-1024,ABC-354,Visa,1336
359,PQR-88928,XYX-955,Master-Card,2645
360,ABC-424,ABC-353,Cheque,2652
361,XYX-1025,XYX-954,Online-Transfer,1107
362,PQR-88929,PQR-88858,Visa,4501
363,ABC-425,ABC-354,Master-Card,4479
364,XYX-1026,XYX-955,Cheque,1550
365,PQR-88930,PQR-88859,Online-Transfer,692
366,ABC-426,ABC-355,Visa,4756
367,XYX-1027,XYX-956,Master-Card,3997
368,PQR-88931,ABC-354,Cheque,2176
369,ABC-427,XYX-955,Online-Transfer,3532
370,XYX-1028,PQR-88859,Visa,1497
371,PQR-88932,ABC-355,Master-Card,1852
372,ABC-428,XYX-956,Cheque,2226
373,XYX-1029,PQR-88860,Online-Transfer,398
374,PQR-88933,ABC-356,Visa,2681
375,ABC-429,XYX-957,Master-Card,3661
376,XYX-1030,ABC-355,Cheque,2891
377,PQR-88934,XYX-956,Online-Transfer,2097
378,ABC-430,PQR-88860,Visa,3330
379,XYX-1031,ABC-356,Master-Card,2534
380,PQR-88935,XYX-957,Cheque,591
381,ABC-431,PQR-88861,Online-Transfer,2041
382,XYX-1032,ABC-357,Visa,2770
383,PQR-88936,XYX-958,Master-Card,4157
384,ABC-432,ABC-356,Cheque,3900
385,XYX-1033,XYX-957,Online-Transfer,4722
386,PQR-88937,PQR-88861,Visa,2449
387,ABC-433,ABC-357,Master-Card,907
388,XYX-1034,XYX-958,Cheque,271
389,PQR-88938,PQR-88862,Online-Transfer,1465
390,ABC-434,ABC-358,Visa,1371
391,XYX-1035,XYX-959,Master-Card,4215
392,PQR-88939,ABC-357,Cheque,2105
393,ABC-435,XYX-958,Online-Transfer,1510
394,XYX-1036,PQR-88862,Visa,4406
395,PQR-88940,ABC-358,Master-Card,3780
396,ABC-436,XYX-959,Cheque,3835
397,XYX-1037,PQR-88863,Online-Transfer,1277
398,PQR-88941,ABC-359,Visa,2182
399,ABC-437,XYX-960,Master-Card,4676
400,XYX-1038,ABC-358,Cheque,2654
401,PQR-88942,XYX-959,Online-Transfer,3965
402,ABC-438,PQR-88863,Visa,2530
403,XYX-1039,ABC-359,Master-Card,4114
404,PQR-88943,XYX-960,Cheque,1291
405,ABC-439,PQR-88864,Online-Transfer,4749
406,XYX-1040,ABC-360,Visa,2678
407,PQR-88944,XYX-961,Master-Card,4195
408,ABC-440,ABC-359,Cheque,4503
409,XYX-1041,XYX-960,Online-Transfer,1317
410,PQR-88945,PQR-88864,Visa,4978
411,ABC-441,ABC-360,Master-Card,2987
412,XYX-1042,XYX-961,Cheque,4391
413,PQR-88946,PQR-88865,Online-Transfer,3135
414,ABC-442,ABC-361,Visa,4756
415,XYX-1043,XYX-962,Master-Card,4594
416,PQR-88947,ABC-360,Cheque,4517
417,ABC-443,XYX-961,Online-Transfer,2584
418,XYX-1044,PQR-88865,Visa,2149
419,PQR-88948,ABC-361,Master-Card,2206
420,ABC-444,XYX-962,Cheque,475
421,XYX-1045,PQR-88866,Online-Transfer,4011
422,PQR-88949,ABC-362,Visa,2126
423,ABC-445,XYX-963,Master-Card,4823
424,XYX-1046,ABC-361,Cheque,1357
425,PQR-88950,XYX-962,Online-Transfer,1074
426,ABC-446,PQR-88866,Visa,4821
427,XYX-1047,ABC-362,Master-Card,4585
428,PQR-88951,XYX-963,Cheque,2404
429,ABC-447,PQR-88867,Online-Transfer,3737
430,XYX-1048,ABC-363,Visa,297
431,PQR-88952,XYX-964,Master-Card,4015
432,ABC-448,ABC-362,Cheque,4121
433,XYX-1049,XYX-963,Online-Transfer,2525
434,PQR-88953,PQR-88867,Visa,1072
435,ABC-449,ABC-363,Master-Card,4813
436,XYX-1050,XYX-964,Cheque,1957
437,PQR-88954,PQR-88868,Online-Transfer,216
438,ABC-450,ABC-364,Visa,4370
439,XYX-1051,XYX-965,Master-Card,3379
440,PQR-88955,ABC-363,Cheque,4894
441,ABC-451,XYX-964,Online-Transfer,1823
442,XYX-1052,PQR-88868,Visa,1011
443,PQR-88956,ABC-364,Master-Card,1613
444,ABC-452,XYX-965,Cheque,1664
445,XYX-1053,PQR-88869,Online-Transfer,3060
446,PQR-88957,ABC-365,Visa,1739
447,ABC-453,XYX-966,Master-Card,2414
448,XYX-1054,ABC-364,Cheque,3821
449,PQR-88958,XYX-965,Online-Transfer,3349
450,ABC-454,PQR-88869,Visa,2411
451,XYX-1055,ABC-365,Master-Card,837
452,PQR-88959,XYX-966,Cheque,3390
453,ABC-455,PQR-88870,Online-Transfer,2582
454,XYX-1056,ABC-366,Visa,2186
455,PQR-88960,XYX-967,Master-Card,2275
456,ABC-456,ABC-365,Cheque,3852
457,XYX-1057,XYX-966,Online-Transfer,3292
458,PQR-88961,PQR-88870,Visa,3517
459,ABC-457,ABC-366,Master-Card,4561
460,XYX-1058,XYX-967,Cheque,3149
461,PQR-88962,PQR-88871,Online-Transfer,3086
462,ABC-458,ABC-367,Visa,1268
463,XYX-1059,XYX-968,Master-Card,787
464,PQR-88963,ABC-366,Cheque,4694
465,ABC-459,XYX-967,Online-Transfer,4126
466,XYX-1060,PQR-88871,Visa,3686
467,PQR-88964,ABC-367,Master-Card,2661
468,ABC-460,XYX-968,Cheque,413
469,XYX-1061,PQR-88872,Online-Transfer,3345
470,PQR-88965,ABC-368,Visa,3660
471,ABC-461,XYX-969,Master-Card,1258
472,XYX-1062,ABC-367,Cheque,2353
473,PQR-88966,XYX-968,Online-Transfer,2193
474,ABC-462,PQR-88872,Visa,4016
475,XYX-1063,ABC-368,Master-Card,369
476,PQR-88967,XYX-969,Cheque,4692
477,ABC-463,PQR-88873,Online-Transfer,641
478,XYX-1064,ABC-369,Visa,1630
479,PQR-88968,XYX-970,Master-Card,4193
480,ABC-464,ABC-368,Cheque,3408
481,XYX-1065,XYX-969,Online-Transfer,1768
482,PQR-88969,PQR-88873,Visa,336
483,ABC-465,ABC-369,Master-Card,1593
484,XYX-1066,XYX-970,Cheque,1058
485,PQR-88970,PQR-88874,Online-Transfer,624
486,ABC-466,ABC-370,Visa,1740
487,XYX-1067,XYX-971,Master-Card,507
488,PQR-88971,ABC-369,Cheque,774
489,ABC-467,XYX-970,Online-Transfer,4866
490,XYX-1068,PQR-88874,Visa,661
491,PQR-88972,ABC-370,Master-Card,4898
492,ABC-468,XYX-971,Cheque,2371
493,XYX-1069,PQR-88875,Online-Transfer,2694
494,PQR-88973,ABC-371,Visa,1788
495,ABC-469,XYX-972,Master-Card,1142
496,XYX-1070,ABC-370,Cheque,3794
497,PQR-88974,XYX-971,Online-Transfer,362
498,ABC-470,PQR-88875,Visa,1966
499,XYX-1071,ABC-371,Master-Card,4671
500,PQR-88975,XYX-972,Cheque,3210
501,ABC-471,PQR-88876,Online-Transfer,1695
502,XYX-1072,ABC-372,Visa,2572
503,PQR-88976,XYX-973,Master-Card,2830
504,ABC-472,ABC-371,Cheque,1796
505,XYX-1073,XYX-972,Online-Transfer,3127
506,PQR-88977,PQR-88876,Visa,1941
507,ABC-473,ABC-372,Master-Card,612
508,XYX-1074,XYX-973,Cheque,1701
509,PQR-88978,PQR-88877,Online-Transfer,3152
510,ABC-474,ABC-373,Visa,3148
511,XYX-1075,XYX-974,Master-Card,2938
512,PQR-88979,ABC-372,Cheque,2502
513,ABC-475,XYX-973,Online-Transfer,2588
514,XYX-1076,PQR-88877,Visa,868
515,PQR-88980,ABC-373,Master-Card,1257
516,ABC-476,XYX-974,Cheque,544
517,XYX-1077,PQR-88878,Online-Transfer,1449
518,PQR-88981,ABC-374,Visa,2638
519,ABC-477,XYX-975,Master-Card,4420
520,XYX-1078,ABC-373,Cheque,1796
521,PQR-88982,XYX-974,Online-Transfer,2983
522,ABC-478,PQR-88878,Visa,1927
523,XYX-1079,ABC-374,Master-Card,4500
524,PQR-88983,XYX-975,Cheque,3652
525,ABC-479,PQR-88879,Online-Transfer,2003
526,XYX-1080,ABC-375,Visa,2972
527,PQR-88984,XYX-976,Master-Card,221
528,ABC-480,ABC-374,Cheque,672
